"Year","Pupil-teacher ratio in primary education (headcount basis)","Primary completion rate, both sexes (%)","Pupil-teacher ratio in pre-primary education (headcount basis)","Pupil-teacher ratio in secondary education (headcount basis)","Lower secondary completion rate, both sexes (%)","Pupil-teacher ratio in tertiary education (headcount basis)","Pupil-teacher ratio in lower secondary education (headcount basis)","Expenditure on tertiary as % of government expenditure on education (%)","Pupil-teacher ratio in upper secondary education (headcount basis)","Under-age enrolment ratio in primary education, both sexes (%)","Expenditure on primary as % of government expenditure on education (%)","Expenditure on secondary as % of government expenditure on education (%)","Under-age enrolment ratio in secondary education, both sexes (%)","Percentage of students in tertiary education enrolled in Social Sciences, Business and Law programmes, both sexes (%)","Expenditure on pre-primary as % of government expenditure on education (%)","Percentage of students in tertiary education enrolled in Health and Welfare programmes, both sexes (%)","Percentage of students in tertiary education enrolled in Education programmes, both sexes (%)","Percentage of students in tertiary education enrolled in Humanities and Arts programmes, both sexes (%)","Percentage of students in tertiary education enrolled in Engineering, Manufacturing and Construction programmes, both sexes (%)","Percentage of students in tertiary education enrolled in Science programmes, both sexes (%)","Expenditure on upper secondary as % of government expenditure on education (%)","Expenditure on lower secondary as % of government expenditure on education (%)","Expenditure on education not allocated by level as % of government expenditure on education (%)","Over-age enrolment ratio in primary education, both sexes (%)","Expenditure on post-secondary non-tertiary as % of government expenditure on education (%)","Expenditure on secondary and post-secondary non-tertiary vocational as % of government expenditure on education (%)"
"1990","-0.765191237432509 (1.41157407039024e-16) ","0.805973190800844 (2.31035798261235e-14) ","-0.471196826783382 (5.7094750026153e-05) ","-0.660271183785202 (4.15039357508397e-08) ","0.872674417554535 (5.65563638559621e-15) ","-0.02116022711897 (0.876983363709948) ","0","0.294685152093833 (0.0581650855251716) ","0","0","-0.377872200841846 (0.0252182983319906) ","0.200305006929076 (0.248613925083115) ","0","0","0","0","0","0","0","0","0","0","0","-0.364263056035594 (0.0128203005480357) ","0","0"
"1991","-0.807831399781433 (1.61484793011442e-20) ","0.822349923204815 (2.5039193497485e-16) ","-0.458682449211005 (9.47425411053527e-05) ","-0.543674630952918 (4.12894726971445e-06) ","0.832440782744541 (2.23606053047779e-13) ","-0.0350991607382834 (0.802966683085199) ","0","0.194812628042924 (0.199703831626526) ","0","0","-0.564507250618924 (0.000505738237480558) ","0.422400590013871 (0.0114794372157655) ","0","0","0","0","0","0","0","0","0","0","0","-0.353763903965607 (0.0147102737853257) ","0","0"
"1992","-0.827111951557196 (5.71977481393183e-22) ","0.814379001465044 (1.57788310642097e-16) ","-0.513202455684309 (7.63792068132114e-06) ","-0.681640978590465 (2.65356772573099e-08) ","0.869963773004097 (2.05680466819495e-15) ","-0.233189496608348 (0.0866450681611704) ","0","0.204448356841268 (0.205706696353159) ","0","0","-0.523632304075763 (0.00148246229959515) ","0.391942986510031 (0.0218765186815123) ","0","0","0","0","0","0","0","0","0","0","0","-0.328951944600425 (0.0312510639061537) ","0","0"
"1993","-0.853425712951935 (2.38362028044009e-24) ","0.82861952652669 (9.87570679224992e-16) ","-0.356610408241035 (0.00263261035413652) ","-0.67735044623527 (5.79227550764325e-10) ","0.831422942110896 (1.53027340311154e-12) ","-0.191336353570845 (0.165755191249107) ","-0.795076115086882 (0.00199445109723869) ","0.264164413994186 (0.0727690973297386) ","-0.635155697007099 (0.035746120318883) ","0","-0.675078813353689 (4.58246267256888e-06) ","0.510858124584915 (0.00123411488877055) ","0","0","0","0","0","0","0","0","0","0","0","-0.40883215712848 (0.00391336922861463) ","0","0"
"1994","-0.866794326726424 (2.04275298543366e-27) ","0.803983173545364 (6.12526700302233e-15) ","-0.402024525484322 (0.000510377759239118) ","-0.695148170651622 (2.59339286845037e-10) ","0.819346250938718 (5.95655710618567e-12) ","-0.27271102863155 (0.0292429268541513) ","-0.785229005295258 (1.50011542676198e-05) ","0.388490192416827 (0.00404458519512937) ","-0.611095612355992 (0.00420343773700203) ","0","-0.755216424478663 (4.85656408823875e-09) ","0.531575227509555 (0.000291705649189401) ","0","0","0","0","0","0","0","0","0","0","0","-0.487497170959479 (0.000381282374102237) ","0","0"
"1995","-0.833326947106635 (8.12764565573617e-23) ","0.824897500390745 (1.6699415366965e-17) ","-0.325547817833227 (0.00813941822873685) ","-0.652838326349193 (1.57900617733409e-08) ","0.767519969112387 (1.91819509966535e-09) ","-0.321537417841077 (0.0177468735811468) ","-0.786479990747705 (6.98469617605639e-07) ","0.300488660216313 (0.0186225524487821) ","-0.558262695983375 (0.00372976937787325) ","0","-0.635062768348735 (2.13037633833211e-06) ","0.467096619909321 (0.00106565268955985) ","0","0","0","0","0","0","0","0","0","0","0","-0.494855363557522 (0.000222987095175564) ","0","0"
"1996","-0.809097535714874 (6.34994630389881e-20) ","0.801431097096108 (5.11959290328892e-15) ","-0.369109092442806 (0.00268710774717354) ","-0.687398132459536 (1.30744935757854e-08) ","0.736792474515068 (1.33381034765062e-07) ","0.050515474163408 (0.724812727570983) ","-0.721510732518543 (4.6457762924692e-06) ","0.395034384310923 (0.00258610777080006) ","-0.444937801400778 (0.0137514895077807) ","0","-0.723353188561475 (9.16080205040298e-08) ","0.466685308172734 (0.00183665854564869) ","0","0","0","0","0","0","0","0","0","0","0","-0.497921590003623 (0.00020088860969487) ","0","0"
"1997","-0.820826305256505 (3.48542866299319e-19) ","0.874812367323116 (2.11928627682978e-16) ","-0.577455000138332 (2.56727174572928e-06) ","-0.6675306859584 (1.37457134005734e-06) ","0.88274416044697 (1.06805801345015e-13) ","-0.280996053740259 (0.0751314888896107) ","-0.786448323088467 (8.60327873536714e-06) ","0.391302326618466 (0.0648368500523035) ","-0.574164438224895 (0.00416919632067807) ","0","-0.271847052941478 (0.275156371403883) ","-0.237294288256012 (0.300332399522243) ","0","0","0","0","0","0","0","0","0","0","0","-0.361018395491562 (0.0173866195315594) ","0","0"
"1998","-0.856659013919877 (2.74314965703517e-25) ","0.85834631949495 (4.19321847598113e-16) ","-0.428279265318019 (0.000414842507138161) ","-0.641732774881498 (8.86043447904517e-07) ","0.883130654152922 (1.14730150171014e-07) ","-0.404733661683628 (0.0175817782473747) ","-0.649589889421076 (1.81262823510426e-05) ","0.43762437719419 (0.00333851854707288) ","-0.421586399822197 (0.00838486438266043) ","0.159254258616428 (0.326318321081224) ","-0.684477170195201 (2.98645968562341e-06) ","0.468575250626369 (0.00262437598832995) ","0.202459392581754 (0.28329049297734) ","0.177672457066406 (0.543402653652869) ","0.249325671312192 (0.142530732337197) ","0.67815075325359 (0.00768223264604524) ","-0.42898228811158 (0.125871136183715) ","0.677270590196034 (0.00779235433654128) ","-0.349214627823646 (0.221023156593497) ","0.309505961422175 (0.28156140256887) ","0.532469849211113 (0.00510589848932862) ","0.11234573997872 (0.584781100522796) ","-0.363618106314131 (0.088091636280674) ","0","-0.132321238178475 (0.55720077289293) ","0"
"1999","-0.854760377431334 (8.17002850980516e-31) ","0.844541970693292 (2.53334604186664e-25) ","-0.388774163741637 (0.000306732596080746) ","-0.637006351311877 (2.12206963241249e-10) ","0.815402382346868 (2.15861749540005e-15) ","-0.156338193067211 (0.189710121646186) ","-0.687003017107844 (2.63066219754213e-10) ","0.297385336114958 (0.0260236937126721) ","-0.494840880111137 (4.34324292697569e-05) ","-0.026750255828786 (0.818574035602154) ","-0.642057889578804 (6.61268418551206e-07) ","0.436838970996715 (0.00169966811465919) ","0.121615821767798 (0.367487959056461) ","-0.156823588717144 (0.36829541420309) ","0.43524871062177 (0.00353439321051212) ","-0.08953269266323 (0.60901841065327) ","-0.195442431540811 (0.267985532873244) ","0.0822024466313647 (0.649267363691266) ","-0.0177777128387811 (0.919262640145947) ","0.129627169719336 (0.464981227168871) ","0.401160040782119 (0.0206802145067902) ","-0.0740696759965137 (0.687032659882139) ","-0.420615797483999 (0.0323842636868887) ","0","-0.067588151955784 (0.72756843243598) ","0"
